时间,PM2.5(μg/m³),PM10(μg/m³),AQI指数
2026-04-28 00:00,65.2,86.1,156
2026-04-28 01:00,63.1,85.2,156
2026-04-28 02:00,59.0,82.9,155
2026-04-28 03:00,57.5,79.9,154
2026-04-28 04:00,55.4,73.3,153
2026-04-28 05:00,54.8,67.8,152
2026-04-28 06:00,53.3,61.7,151
2026-04-28 07:00,47.6,53.3,149
2026-04-28 08:00,35.2,37.0,130
2026-04-28 09:00,35.7,37.6,130
2026-04-28 10:00,35.8,37.7,130
2026-04-28 11:00,36.5,38.5,131
2026-04-28 12:00,39.0,41.1,134
2026-04-28 13:00,39.2,41.3,134
2026-04-28 14:00,39.2,41.3,134
2026-04-28 15:00,39.0,41.1,134
2026-04-28 16:00,40.1,42.3,136
2026-04-28 17:00,41.0,43.2,137
2026-04-28 18:00,40.6,42.8,136
2026-04-28 19:00,38.9,41.0,133
2026-04-28 20:00,36.5,38.4,130
2026-04-28 21:00,34.7,36.6,127
2026-04-28 22:00,32.9,35.5,123
2026-04-28 23:00,32.2,34.0,121
