区域,指标名称,指标值,占比/进度
滨江区,AQI指数,72,48%
滨江区,PM2.5(μg/m³),35,47%
滨江区,PM10(μg/m³),58,39%
滨江区,优良天数占比,87,87%
萧山区,AQI指数,95,63%
萧山区,PM2.5(μg/m³),48,64%
萧山区,PM10(μg/m³),78,52%
萧山区,优良天数占比,73,73%
西湖区,AQI指数,65,43%
西湖区,PM2.5(μg/m³),30,40%
西湖区,PM10(μg/m³),52,35%
西湖区,优良天数占比,90,90%
上城区,AQI指数,82,55%
上城区,PM2.5(μg/m³),42,56%
上城区,PM10(μg/m³),68,45%
上城区,优良天数占比,80,80%
拱墅区,AQI指数,78,52%
拱墅区,PM2.5(μg/m³),38,51%
拱墅区,PM10(μg/m³),62,41%
拱墅区,优良天数占比,83,83%
余杭区,AQI指数,68,45%
余杭区,PM2.5(μg/m³),32,43%
余杭区,PM10(μg/m³),55,37%
余杭区,优良天数占比,88,88%
钱塘区,AQI指数,88,59%
钱塘区,PM2.5(μg/m³),45,60%
钱塘区,PM10(μg/m³),72,48%
钱塘区,优良天数占比,76,76%
临平区,AQI指数,76,51%
临平区,PM2.5(μg/m³),36,48%
临平区,PM10(μg/m³),60,40%
临平区,优良天数占比,84,84%
杭州市,空气质量优占比,35,35%
杭州市,空气质量良占比,42,42%
杭州市,轻度污染占比,15,15%
杭州市,中度污染占比,6,6%
杭州市,重度及以上污染占比,2,2%
