日期,总销量,总销售额
2025-01-01,3263,89898
2025-01-02,3659,99973
2025-01-03,3245,90033
2025-01-04,4470,127930
2025-01-05,4388,121099
2025-01-06,3581,104534
2025-01-07,3289,93258
2025-01-08,3579,101193
2025-01-09,3312,88280
2025-01-10,3563,98622
2025-01-11,4443,126802
2025-01-12,4213,116891
2025-01-13,3402,94738
2025-01-14,3594,97056
2025-01-15,3545,97234
2025-01-16,3585,98178
2025-01-17,3563,96375
2025-01-18,4537,127856
2025-01-19,4560,118768
2025-01-20,3294,91091
2025-01-21,3337,91697
2025-01-22,3402,92054
2025-01-23,3429,93016
2025-01-24,3542,98176
2025-01-25,4539,123639
2025-01-26,4426,123588
2025-01-27,3524,94986
2025-01-28,3600,99389
2025-01-29,3295,91967
2025-01-30,3369,93664
2025-01-31,3392,94198
2025-02-01,8821,250792
2025-02-02,9045,242768
2025-02-03,7332,209512
2025-02-04,7077,198421
2025-02-05,6607,195630
2025-02-06,6584,175526
2025-02-07,6736,182647
2025-02-08,9173,246367
2025-02-09,8382,238455
2025-02-10,7050,199115
2025-02-11,6139,186065
2025-02-12,6614,187754
2025-02-13,6593,187265
2025-02-14,6819,189772
2025-02-15,9096,247331
2025-02-16,4549,125362
2025-02-17,3488,96115
2025-02-18,3176,85309
2025-02-19,3629,100209
2025-02-20,3389,94720
2025-02-21,3278,93340
2025-02-22,4264,118474
2025-02-23,4120,117618
2025-02-24,3382,98736
2025-02-25,3433,101865
2025-02-26,3123,89575
2025-02-27,3393,92584
2025-02-28,3252,92996
2025-03-01,3430,92073
2025-03-02,3231,87581
2025-03-03,2564,67795
2025-03-04,2561,69493
2025-03-05,2699,75476
2025-03-06,2543,70798
2025-03-07,2339,65509
2025-03-08,3498,98195
2025-03-09,3482,95195
2025-03-10,2673,73214
2025-03-11,2529,71837
2025-03-12,2487,70962
2025-03-13,2557,72853
2025-03-14,2668,70794
2025-03-15,3464,98781
2025-03-16,3270,88657
2025-03-17,2739,73692
2025-03-18,2733,77524
2025-03-19,2680,71022
2025-03-20,2524,71015
2025-03-21,2303,64668
2025-03-22,3155,93670
2025-03-23,3191,88596
2025-03-24,2484,70975
2025-03-25,2585,72548
2025-03-26,2455,67527
2025-03-27,2527,72468
2025-03-28,2584,71449
2025-03-29,3222,94889
2025-03-30,3376,97344
2025-03-31,2526,65949
2025-04-01,2750,74171
2025-04-02,2672,72292
2025-04-03,2583,71059
2025-04-04,2441,70671
2025-04-05,3124,91434
2025-04-06,3403,98248
2025-04-07,2608,72714
2025-04-08,2651,74802
2025-04-09,2716,75852
2025-04-10,2423,70342
2025-04-11,2606,70791
2025-04-12,3127,91629
2025-04-13,3446,102589
2025-04-14,2593,72581
2025-04-15,2609,71788
2025-04-16,2620,73904
2025-04-17,2750,76995
2025-04-18,2635,72385
2025-04-19,3407,97549
2025-04-20,3504,95140
2025-04-21,2622,73228
2025-04-22,2520,67696
2025-04-23,2596,70753
2025-04-24,2545,70176
2025-04-25,2787,78275
2025-04-26,3239,87974
2025-04-27,3484,98255
2025-04-28,2673,69025
2025-04-29,2583,71611
2025-04-30,2613,73434
2025-05-01,3831,99582
2025-05-02,3505,95514
2025-05-03,4471,122044
2025-05-04,4432,126551
2025-05-05,3407,95818
2025-05-06,2771,75134
2025-05-07,2653,73252
2025-05-08,2645,72380
2025-05-09,2659,75916
2025-05-10,3388,92632
2025-05-11,3540,95959
2025-05-12,2508,68719
2025-05-13,2575,68831
2025-05-14,2630,74841
2025-05-15,2626,75921
2025-05-16,2487,72150
