日期,店铺 ID,店铺名称,区域,品类 ID,品牌,品规,价格,档次,销售数量,销售金额
2025-01-01,S001,上城区卷烟专卖店,上城区,P001,中华,硬中华,45,高档,16,720
2025-01-01,S001,上城区卷烟专卖店,上城区,P002,中华,软中华,65,高档,19,1235
2025-01-01,S001,上城区卷烟专卖店,上城区,P003,利群,硬利群,14,中档,13,182
2025-01-01,S001,上城区卷烟专卖店,上城区,P004,利群,软利群,22,中档,11,242
2025-01-01,S001,上城区卷烟专卖店,上城区,P005,利群,阳光利群,36,高档,14,504
2025-01-01,S001,上城区卷烟专卖店,上城区,P006,芙蓉王,硬芙蓉王,25,中档,19,475
2025-01-01,S001,上城区卷烟专卖店,上城区,P007,芙蓉王,软芙蓉王,35,高档,4,140
2025-01-01,S001,上城区卷烟专卖店,上城区,P008,黄鹤楼,硬黄鹤楼,20,中档,28,560
2025-01-01,S001,上城区卷烟专卖店,上城区,P009,黄鹤楼,软黄鹤楼,50,高档,15,750
2025-01-01,S001,上城区卷烟专卖店,上城区,P010,南京,硬南京,12,低档,52,624
2025-01-01,S001,上城区卷烟专卖店,上城区,P011,南京,雨花石,55,高档,12,660
2025-01-01,S001,上城区卷烟专卖店,上城区,P012,黄山,硬黄山,10,低档,40,400
2025-01-01,S001,上城区卷烟专卖店,上城区,P013,黄山,徽商新视界,100,高档,4,400
2025-01-01,S001,上城区卷烟专卖店,上城区,P014,玉溪,硬玉溪,23,中档,14,322
2025-01-01,S001,上城区卷烟专卖店,上城区,P015,云烟,硬云烟,10,低档,26,260
2025-01-01,S002,下城区烟草直营店,下城区,P001,中华,硬中华,45,高档,11,495
2025-01-01,S002,下城区烟草直营店,下城区,P002,中华,软中华,65,高档,10,650
2025-01-01,S002,下城区烟草直营店,下城区,P003,利群,硬利群,14,中档,20,280
2025-01-01,S002,下城区烟草直营店,下城区,P004,利群,软利群,22,中档,23,506
2025-01-01,S002,下城区烟草直营店,下城区,P005,利群,阳光利群,36,高档,21,756
2025-01-01,S002,下城区烟草直营店,下城区,P006,芙蓉王,硬芙蓉王,25,中档,27,675
2025-01-01,S002,下城区烟草直营店,下城区,P007,芙蓉王,软芙蓉王,35,高档,12,420
2025-01-01,S002,下城区烟草直营店,下城区,P008,黄鹤楼,硬黄鹤楼,20,中档,22,440
2025-01-01,S002,下城区烟草直营店,下城区,P009,黄鹤楼,软黄鹤楼,50,高档,23,1150
2025-01-01,S002,下城区烟草直营店,下城区,P010,南京,硬南京,12,低档,35,420
