wage,educ,exper,exper_sq,female,married,ln_wage
4.330779568980403,11,4,16,0,1,1.4657475648348153
11.527611835117398,17,12,144,1,1,2.4447451866450183
13.212114717106926,14,17,289,1,1,2.5811341902873153
8.981492906123284,12,17,289,1,1,2.1951661163943736
4.761019227140613,9,13,169,1,0,1.5604617686710647
12.010072052310072,9,21,441,0,1,2.4857456354336023
1.182490778662532,7,8,64,1,1,0.1676230431823249
14.314526862285026,15,15,225,0,0,2.6612748861201663
6.994077776136103,13,17,289,0,0,1.9450637589877176
4.470277047177344,13,21,441,0,0,1.4974503859391493
7.47057751497233,6,22,484,0,1,2.0109723073976418
14.50333379997723,17,8,64,1,0,2.67437854023942
6.489898770110893,15,4,16,1,1,1.8702469327686029
13.404956908631453,10,27,729,0,1,2.5956245571084517
15.212698974556782,9,19,361,0,1,2.722130537903163
7.340842053463779,9,11,121,1,0,1.9934535572268042
17.991958166043364,10,29,841,0,1,2.889924889512213
13.434772535676007,12,17,289,0,1,2.597846311196626
10.083845926192215,11,26,676,0,1,2.310934730172079
3.050368991531733,10,17,289,1,1,1.1152625641318061
6.6783929352976825,13,33,1089,1,0,1.898877380056642
4.884548963862773,9,31,961,0,0,1.5860769503953027
17.0699839686781,10,15,225,0,0,2.8373215976540687
6.645052839513187,11,24,576,1,1,1.8938726439038247
7.431184354360683,11,22,484,1,1,2.0056852476901907
16.323940460761957,14,27,729,0,1,2.792632770193239
5.164842674342637,10,9,81,1,1,1.6418746421546653
21.483640601043476,12,22,484,0,1,3.067291743223501
7.037488588247778,12,25,625,0,0,1.9512513719011233
3.3337666001726816,7,2,4,1,1,1.2041027759310654
6.205323362368186,13,7,49,0,1,1.8254075304926312
1.9457945647281547,9,0,0,1,1,0.6656704102199793
4.944057583691473,8,14,196,0,1,1.5981863672743484
16.271617370878623,17,22,484,0,1,2.789422324457376
9.046855622902086,17,29,841,1,0,2.202417252355647
7.54381983062951,14,17,289,0,0,2.0207286625737373
3.1296111401985605,10,30,900,1,0,1.1409087604757988
4.870015043286083,8,5,25,0,1,1.5830970260601758
3.9301953053445673,13,3,9,0,1,1.3686891206627931
12.140947623473927,11,16,256,0,1,2.4965838405317706
5.948382505291813,9,20,400,1,1,1.7831193347500982
4.454358527546548,12,16,256,0,0,1.49388306122794
