wage,educ,exper,exper_sq,female,married,hours,tenure,tenure_sq,ln_wage
3.324864869307414,10,17,289,1,1,40,4,16,1.201429032472157
10.699839287834317,11,38,1444,1,1,32,8,64,2.370228721526493
21.660451785521605,18,22,484,0,0,31,2,4,3.075488099412641
4.561518031503767,8,28,784,0,0,51,5,25,1.5176554697723996
6.210148792252002,12,3,9,0,1,55,10,100,1.8261848557633409
14.178656664709894,18,11,121,0,0,47,1,1,2.6517377821107355
11.06899694824899,10,15,225,0,1,22,7,49,2.4041481327009455
6.281990014180253,16,10,100,1,0,42,7,49,1.8376868115227452
1.2321729339364837,12,0,0,1,0,38,2,4,0.20877922371553637
10.995609766628824,14,14,196,0,0,29,0,0,2.3974960810072763
12.603462968404406,10,29,841,1,1,53,10,100,2.533971614958433
7.949927464934972,11,20,400,0,0,30,5,25,2.0731628047170667
13.799514029902765,10,21,441,0,1,48,0,0,2.624633376318651
10.705445800070219,16,25,625,0,1,27,2,4,2.37075256527266
6.3703442538925215,7,15,225,0,0,35,2,4,1.851653511121058
5.314364609588224,11,26,676,1,0,33,4,16,1.6704134580038457
4.988875299327633,12,17,289,0,0,39,9,81,1.6072104934427713
8.978230470045176,11,22,484,1,1,52,5,25,2.194802810563247
8.926464277782033,13,9,81,0,1,41,5,25,2.1890203789460383
8.350403077672333,16,17,289,1,0,31,3,9,2.122309810472801
6.1544225133569945,7,20,400,0,1,40,1,1,1.8171709312471804
3.1698594494765326,9,11,121,1,1,36,4,16,1.1536872492016803
2.8079475377088605,10,8,64,0,1,24,5,25,1.0324538028369172
4.831619799502332,13,4,16,0,0,39,12,144,1.5751817736589464
9.457714603400227,10,20,400,1,1,40,4,16,2.2468307686131195
16.839290068629158,17,18,324,1,1,41,10,100,2.823714850480706
6.959200248505911,9,24,576,0,0,39,1,1,1.94006456092017
2.1023941034053872,7,21,441,1,0,38,6,36,0.7430767446073925
6.987033803094458,12,32,1024,0,1,45,2,4,1.9440561175569586
9.205151825362233,13,19,361,0,0,41,5,25,2.2197633083417667
13.186210554980416,15,23,529,0,1,52,8,64,2.5791716286343322
7.477851300063022,13,19,361,1,0,38,6,36,2.0119454913696524
15.060502081568895,12,18,324,0,1,47,8,64,2.7120755605656184
7.427012807696402,12,13,169,0,1,45,2,4,2.005123733163443
16.198565530345505,10,22,484,0,0,35,0,0,2.7849226908082394
4.878859445395757,12,17,289,1,0,47,10,100,1.5849114723424447
3.2782316918192627,12,8,64,0,0,29,3,9,1.1873041586717177
4.340708466679608,12,18,324,1,0,31,6,36,1.4680375759603401
3.3183174400628146,10,8,64,1,1,36,6,36,1.1994578593025211
8.779623433622705,11,18,324,0,1,49,5,25,2.17243351761823
20.67113614322506,16,25,625,1,1,27,12,144,3.02873833798984
7.506323092984312,11,22,484,1,0,20,10,100,2.0157457444153075
2.6486636658310325,6,6,36,0,0,36,4,16,0.9740552357628072
4.880129126152981,10,5,25,0,0,36,5,25,1.585171679792239
2.3932071168097453,10,0,0,0,1,39,0,0,0.8726343562923738
7.2605995420438125,10,14,196,1,1,47,3,9,1.9824624069757708
8.075698547805185,13,16,256,1,1,48,0,0,2.0888593728352993
6.787205971329359,14,2,4,1,0,30,0,0,1.9150393651805901
2.5865005909724386,15,11,121,1,0,54,9,81,0.9503058389448547
3.1463533212078496,8,2,4,1,1,39,2,4,1.1462441064062459
3.321510240899429,9,11,121,0,0,37,3,9,1.2004195713336485
14.80703990203835,18,26,676,0,1,20,6,36,2.6951027367320513
2.7565013043156013,5,18,324,1,0,36,3,9,1.0139622322256505
6.128266362582979,11,29,841,1,1,43,8,64,1.8129118979725958
4.609739397125448,7,22,484,0,1,34,4,16,1.5281713255029699
5.57823132936142,13,13,169,1,1,32,12,144,1.7188717600845975
17.027293610529767,20,29,841,0,1,44,3,9,2.834817563110223
9.368424300649734,12,24,576,0,1,36,0,0,2.2373449178241516
5.089377905724249,11,3,9,0,0,25,3,9,1.6271556041784054
12.803959794657796,13,14,196,1,1,69,0,0,2.549754482041596
7.221343259960719,13,11,121,1,1,34,4,16,1.9770409826860942
