院校名称,2024最低分,2024位次,2023最低分,2023位次,2022最低分,2022位次
北京大学,707,78,703,94,694,100
清华大学,707,81,704,75,695,81
北京大学医学部,699,250,695,280,684,334
复旦大学,698,250,697,280,686,334
上海交通大学,699,230,697,269,687,310
复旦大学医学院,696,300,696,300,686,334
上海交通大学医学院,695,320,694,350,686,334
浙江大学,664,6791,663,6937,651,6500
浙江大学医学院,666,6080,668,5275,657,5271
中国科学技术大学,680,2100,678,2400,671,1810
南京大学,679,2450,677,2787,668,2402
中国人民大学,678,2600,676,2900,667,2500
北京航空航天大学,677,2800,675,3100,666,2600
北京理工大学,676,3000,674,3300,665,2700
哈尔滨工业大学,663,7000,661,7200,650,6700
西安交通大学,662,7200,660,7400,649,6900
同济大学,661,7400,659,7600,648,7100
上海财经大学,660,7600,658,7800,647,7300
南开大学,659,7800,657,8000,646,7500
天津大学,658,8000,656,8200,645,7700
武汉大学,657,8200,655,8400,644,7900
华中科技大学,656,8400,654,8600,643,8100
中山大学,655,8600,653,8800,642,8300
华南理工大学,654,8800,652,9000,641,8500
四川大学,653,9000,651,9200,640,8700
重庆大学,652,9200,650,9400,639,8900
东南大学,651,9400,649,9600,638,9100
大连理工大学,650,9600,648,9800,637,9300
东北大学,649,9800,647,10000,636,9500
兰州大学,648,10000,646,10200,635,9700
山东大学,647,10200,645,10400,634,9900
中国海洋大学,646,10400,644,10600,633,10100
湖南大学,645,10600,643,10800,632,10300
中南大学,644,10800,642,11000,631,10500
吉林大学,643,11000,641,11200,630,10700
西北工业大学,642,11200,640,11400,629,10900
南京航空航天大学,641,11400,639,11600,628,11100
南京理工大学,640,11600,638,11800,627,11300
北京邮电大学,639,11800,637,12000,626,11500
西安电子科技大学,638,12000,636,12200,625,11700
中国农业大学,637,12200,635,12400,624,11900
北京师范大学,636,12400,634,12600,623,12100
华东师范大学,635,12600,633,12800,622,12300
华南师范大学,634,12800,632,13000,621,12500
华中师范大学,633,13000,631,13200,620,12700
南京师范大学,632,13200,630,13400,619,12900
苏州大学,631,13400,629,13600,618,13100
上海大学,630,13600,628,13800,617,13300
郑州大学,629,13800,627,14000,616,13500
武汉理工大学,628,14000,626,14200,615,13700
西南大学,627,14200,625,14400,614,13900
陕西师范大学,626,14400,624,14600,613,14100
东北师范大学,625,14600,623,14800,612,14300
湖南师范大学,624,14800,622,15000,611,14500
华南农业大学,623,15000,621,15200,610,14700
南京农业大学,622,15200,620,15400,609,14900
华中农业大学,621,15400,619,15600,608,15100
西北农林科技大学,620,15600,618,15800,607,15300
北京林业大学,619,15800,617,16000,606,15500
东北林业大学,618,16000,616,16200,605,15700
东北农业大学,617,16200,615,16400,604,15900
四川农业大学,616,16400,614,16600,603,16100
云南大学,615,16600,613,16800,602,16300
贵州大学,614,16800,612,17000,601,16500
广西大学,613,17000,611,17200,600,16700
海南大学,612,17200,610,17400,599,16900
新疆大学,611,17400,609,17600,598,17100
石河子大学,610,17600,608,17800,597,17300
青海大学,609,17800,607,18000,596,17500
宁夏大学,608,18000,606,18200,595,17700
西藏大学,607,18200,605,18400,594,17900
宁波大学,603,49565,601,50100,598,49000
浙江工业大学,599,54497,598,54000,595,52000
杭州电子科技大学,607,43569,605,44800,602,45000
浙江师范大学,587,68500,585,69000,583,68000
杭州师范大学,586,67491,582,72000,578,75000
浙江理工大学,581,73000,579,74500,575,78000
温州医科大学,580,74200,577,76000,573,78779
浙江中医药大学,578,75055,572,80500,568,84000
浙江财经大学,577,76500,574,78800,570,82000
中国计量大学,587,65567,570,83200,565,88000
浙江科技大学,561,97759,568,85000,565,89293
浙江海洋大学,574,79055,562,91000,558,95000
温州大学,574,79971,559,94000,555,98000
浙大城市学院,579,74986,576,77000,572,80000
浙大宁波理工学院,558,98063,554,101000,550,105000
杭州医学院,557,99000,553,102000,549,106000
湖州师范学院,556,100000,552,103000,548,107000
绍兴文理学院,555,101000,551,104000,547,108000
台州学院,554,102000,550,105000,528,145000
嘉兴学院,553,103000,549,106000,546,109000
浙江万里学院,552,104000,548,107000,545,110000
宁波工程学院,551,105000,547,108000,544,111000
衢州学院,550,106000,546,109000,543,112000
浙江树人学院,549,107000,545,110000,542,113000
浙江水利水电学院,548,108000,544,111000,541,114000
浙江药科职业大学,547,109000,543,112000,540,115000
杭州电子科技大学信息工程学院,546,110000,542,113000,539,116000
浙江工业大学之江学院,545,111000,541,114000,538,117000
浙江师范大学行知学院,544,112000,540,115000,537,118000
宁波大学科学技术学院,543,113000,539,116000,536,119000
杭州师范大学钱江学院,542,114000,538,117000,535,120000
浙江理工大学科技与艺术学院,541,115000,537,118000,534,121000
浙江海洋大学东海科学技术学院,540,116000,536,119000,533,122000
浙江农林大学暨阳学院,539,117000,535,120000,532,123000
温州医科大学仁济学院,538,118000,534,121000,531,124000
浙江中医药大学滨江学院,537,119000,533,122000,530,125000
浙江财经大学东方学院,536,120000,532,123000,529,126000
